sysnum,title
000495563,[The Story of Africa and its Explorers. [With plates and maps.]]
001352199,Songs for Little People. [With illustrations by H. Stratton.]
002958410,Spicuirĭ din trecutul t̡ĕrilor române cu privire la viat̡a s̡i suferint̡ele poporuluĭ de la sate
000498737,"Gerald Thurlow; or, the New marshal. A story of California, etc"
001583657,"Études historiques et géographiques ... Ouvrage contenant 10 cartes hors texte, etc"
003194598,The edge of the Orient
000433666,The Century of Louis XIV. Its arts-its ideas. From the French ... by Mrs. Cashel Hoey. [With plates.]
000658681,Through Jungle and Desert. Travels in Eastern Africa ... With illustrations from photographs taken by the author and maps. [With a portrait.]
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc"
003501199,[A Child's Garden of Verses ... Second edition.]
000433665,"Le Grand siècle. Louis XIV. Les arts, les idées, etc. [With plates.]"
001910294,The Growth of the American Nation
001384296,"[Outlines of Geology ... Second edition revised, etc.]"
000403057,"Gazetteer of the Bombay Presidency. [Edited by Sir James M. Campbell. General index, by R. E. Enthoven.]"
001495840,The Official Guide to the Great Western Railway ... Abridged and popular edition. Illustrated
003757808,Baranya multja és jelenje. [With illustrations and a map.]
000369579,Anthony Blake's Experiment. [A novel. By Alice O'Brien.]
002893249,Napoléon et son temps ... Ouvrage illustré ... Neuvième mille
003057425,"Petroleum: a treatise on the geographical distribution and geological occurrence of petroleum and natural gas ... By B. Redwood, assisted by G. T. Holloway, and other contributors ... With maps, etc"
000520363,Deutsch-Südwestafrika. Drei Jahre im Lande Hendrik Witboois. Schilderungen von Land und Leuten ... Mit zahlreichen Abbildungen ... und zwei Karten
002599224,Изъ исторіи Москвы. 1147-1703. Очерки. Съ 212 рисунками. [By] В. Н. [i.e. by V. Nazarevsky.]
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc"
001059442,"The People's Standard History of the United States from the landing of the Norsemen to the present time. By E. S. Ellis ... Assisted by, with introduction, annotations, lists of authorities, etc., G. M. Adam"
000489690,[A Treatise on Mine-surveying ... With ... diagrams.]
000015282,The Growth of the French Nation
001384296,"[Outlines of Geology ... Second edition revised, etc.]"
003253482,"Jeanne d'Arc et la Normandie au XVme siècle. Illustrations, etc"
003822117,The Story of a Fool and his Folly
001967178,Trooper Ross and Vignal Butte. [A tale.]
000115982,"[Old Caleb's Will: or, the Fortunes of the Cardew family.]"
002903060,"A Treatise on Ore Deposits ... Second edition, rewritten and greatly enlarged by H. Louis, etc"
002368499,The Household of Sir Thos. More. With an introduction by W. H. Hutton and ... illustrations by J. Jellicoe and H. Railton
001567835,"The Half Hour Library of Travel, Nature and Science for young readers"
003265383,"The Township of Scarboro, 1796-1896. Edited by David Boyle. [With plates.]"
003501199,[A Child's Garden of Verses ... Second edition.]
000832719,"Manningham, Heaton, and Allerton, townships of Bradford, treated historically and topographically. [With plates.]"
002117312,How Dick and Molly saw England ... With illustrations
001970021,Westward Ho! ... With illustrations by C. E. Brock
000115608,“The Cobbler o' Kirkiebrae.” A romance of Galloway
002441052,Catalina: Art Student ... With eight illustrations
000119124,East and West. Being papers reprinted from the “Daily Telegraph” and other sources ... With ... illustrations by R. T. Pritchett
003420096,"Strathendrick and its Inhabitants from early times. An account of the parishes of Fintry, Balfron, Killearn, Drymen, Buchanan, and Kilmaronock. [With illustrations.] (Memoir of the author, by C. D. Donald.)"
003159008,The Metallurgy of Gold ... Second edition
002804029,Eli's Daughter. [A novel.]
003822117,The Story of a Fool and his Folly
001611278,"The Shannon and its Lakes; or, a short history of that noble stream from its source to Limerick"
001506560,"The Great Rift Valley. Being the narrative of a journey to Mount Kenya and Lake Baringo. With some account of the geology, natural history, anthropology, and future prospects of British East Africa ... With maps and illustrations"
001701575,"A Short History of the Borough of Sudbury ... Compiled from materials collected by W. W. Hodson, by C. F. D. Sperling. [With illustrations.]"
003501199,[A Child's Garden of Verses ... Second edition.]
