flickrid	enteredtext	from	to	tagid	author	tag	mode
11306876546	Kapstadt	1393283782	1394510573	12383156-11306876546-225300	82452447@N00	kapstadt	add
11306876846	mechanical_curator	1386752400	1389705928	12383156-11306876846-147195664	12403504@N02	mechanicalcurator	add
11306876846	sysnum:000902742	1386752400	1389705928	12383156-11306876846-162359284	12403504@N02	sysnum000902742	add
11306876846	vol:0	1386752400	1389705928	12383156-11306876846-21849367	12403504@N02	vol0	add
11306876846	imagesfromvolume:000902742_0	1386752400	1389705928	12383156-11306876846-166594243	12403504@N02	imagesfromvolume0009027420	add
11306876846	DE LONG, George Washington.	1386752400	1389705928	12383156-11306876846-162359294	12403504@N02	delonggeorgewashington	add
11306876846	bldigital	1386752400	1389705928	12383156-11306876846-137769045	12403504@N02	bldigital	add
11306876846	page:431	1386752400	1389705928	12383156-11306876846-69230032	12403504@N02	page431	add
11306876846	medium	1386752400	1389705928	12383156-11306876846-20924	12403504@N02	medium	add
11306876846	date:1885	1386752400	1389705928	12383156-11306876846-148690275	12403504@N02	date1885	add
11306876846	public_domain	1386752400	1389705928	12383156-11306876846-136904	12403504@N02	publicdomain	add
11306876846	imagesfrombook:000902742	1386752400	1389705928	12383156-11306876846-166594233	12403504@N02	imagesfrombook000902742	add
11306876846	pubplace:Paris	1386752400	1389705928	12383156-11306876846-147195654	12403504@N02	pubplaceparis	add
11306877163	mechanical_curator	1386752400	1389628613	12383156-11306877163-147195664	12403504@N02	mechanicalcurator	add
11306877163	medium	1386752400	1389628613	12383156-11306877163-20924	12403504@N02	medium	add
11306877163	page:401	1386752400	1389628613	12383156-11306877163-160276086	12403504@N02	page401	add
11306877163	imagesfrombook:000149250	1386752400	1389628613	12383156-11306877163-166588773	12403504@N02	imagesfrombook000149250	add
11306877163	bldigital	1386752400	1389628613	12383156-11306877163-137769045	12403504@N02	bldigital	add
11306877163	imagesfromvolume:000149250_03	1386752400	1389628613	12383156-11306877163-166595365	12403504@N02	imagesfromvolume00014925003	add
11306877163	date:1885	1386752400	1389628613	12383156-11306877163-148690275	12403504@N02	date1885	add
11306877163	vol:03	1386752400	1389628613	12383156-11306877163-1154191	12403504@N02	vol03	add
11306877163	public_domain	1386752400	1389628613	12383156-11306877163-136904	12403504@N02	publicdomain	add
11306877163	sysnum:000149250	1386752400	1389628613	12383156-11306877163-162381443	12403504@N02	sysnum000149250	add
11306877163	pubplace:Budapest	1386752400	1389628613	12383156-11306877163-148230366	12403504@N02	pubplacebudapest	add
11306877194	mechanical_curator	1386752400	1389741781	12383156-11306877194-147195664	12403504@N02	mechanicalcurator	add
11306877194	medium	1386752400	1389741781	12383156-11306877194-20924	12403504@N02	medium	add
11306877194	imagesfromvolume:002093005_02	1386752400	1389741781	12383156-11306877194-166580306	12403504@N02	imagesfromvolume00209300502	add
11306877194	page:173	1386752400	1389741781	12383156-11306877194-55833824	12403504@N02	page173	add
11306877194	bldigital	1386752400	1389741781	12383156-11306877194-137769045	12403504@N02	bldigital	add
11306877194	pubplace:London	1386752400	1389741781	12383156-11306877194-147209253	12403504@N02	pubplacelondon	add
11306877194	LAW, Ernest.	1386752400	1389741781	12383156-11306877194-162382763	12403504@N02	lawernest	add
11306877194	date:1885	1386752400	1389741781	12383156-11306877194-148690275	12403504@N02	date1885	add
11306877194	public_domain	1386752400	1389741781	12383156-11306877194-136904	12403504@N02	publicdomain	add
11306877194	sysnum:002093005	1386752400	1389741781	12383156-11306877194-162382753	12403504@N02	sysnum002093005	add
11306877194	imagesfrombook:002093005	1386752400	1389741781	12383156-11306877194-166589043	12403504@N02	imagesfrombook002093005	add
11306877194	vol:02	1386752400	1389741781	12383156-11306877194-1153640	12403504@N02	vol02	add
11306877194	Queen of England and Ireland	1393280605	1394510591	12383156-11306877194-36609490	82452447@N00	queenofenglandandireland	add
11306877194	Ellizabeth I	1393280605	1394510591	12383156-11306877194-201329983	82452447@N00	ellizabethi	add
